customer_id,trans_date,tran_amount,response,month,year,day,month_year,Segment
CS5295,2013-02-11,35,1,2,2013,11,2013-02,High Value
CS4768,2015-03-15,39,1,3,2015,15,2015-03,High Value
CS2122,2013-02-26,52,0,2,2013,26,2013-02,High Value
CS1217,2011-11-16,99,0,11,2011,16,2011-11,High Value
CS1850,2013-11-20,78,0,11,2013,20,2013-11,High Value
CS5539,2014-03-26,81,0,3,2014,26,2014-03,High Value
CS2724,2012-02-06,93,0,2,2012,6,2012-02,Medium Value
CS5902,2015-01-30,89,0,1,2015,30,2015-01,Medium Value
CS6040,2013-01-08,76,0,1,2013,8,2013-01,High Value
CS3802,2013-08-20,75,1,8,2013,20,2013-08,High Value
CS3494,2013-07-02,94,0,7,2013,2,2013-07,High Value
CS3780,2013-03-25,80,0,3,2013,25,2013-03,Medium Value
CS1171,2012-11-03,59,0,11,2012,3,2012-11,High Value
CS2892,2013-05-12,43,0,5,2013,12,2013-05,High Value
CS5552,2014-12-29,78,0,12,2014,29,2014-12,High Value
CS6043,2014-01-15,98,0,1,2014,15,2014-01,High Value
CS4147,2013-07-08,81,0,7,2013,8,2013-07,High Value
CS4655,2013-12-30,93,0,12,2013,30,2013-12,High Value
CS3904,2014-07-20,103,0,7,2014,20,2014-07,High Value
CS4102,2011-07-09,96,0,7,2011,9,2011-07,High Value
CS2086,2013-03-05,75,0,3,2013,5,2013-03,High Value
CS6085,2013-01-09,49,0,1,2013,9,2013-01,High Value
CS1328,2013-02-06,54,0,2,2013,6,2013-02,High Value
CS4564,2012-03-27,48,0,3,2012,27,2012-03,High Value
CS5910,2012-01-01,98,0,1,2012,1,2012-01,High Value
CS2748,2013-03-23,37,1,3,2013,23,2013-03,High Value
CS5147,2013-04-29,72,0,4,2013,29,2013-04,High Value
CS1770,2012-11-02,83,0,11,2012,2,2012-11,High Value
CS3510,2011-10-24,81,0,10,2011,24,2011-10,High Value
CS2509,2011-12-05,105,0,12,2011,5,2011-12,Medium Value
CS2859,2015-02-27,77,0,2,2015,27,2015-02,Medium Value
CS1512,2015-02-21,71,0,2,2015,21,2015-02,High Value
CS4148,2013-08-22,48,0,8,2013,22,2013-08,High Value
CS1735,2012-03-31,70,0,3,2012,31,2012-03,Medium Value
CS1588,2012-01-27,70,0,1,2012,27,2012-01,High Value
CS5514,2013-01-09,36,1,1,2013,9,2013-01,High Value
CS5933,2013-10-07,48,0,10,2013,7,2013-10,High Value
CS2797,2014-03-06,87,1,3,2014,6,2014-03,High Value
CS5313,2012-12-02,88,0,12,2012,2,2012-12,High Value
CS5966,2012-03-09,39,0,3,2012,9,2012-03,High Value
CS5211,2014-05-18,51,0,5,2014,18,2014-05,High Value
CS1511,2015-01-13,47,0,1,2015,13,2015-01,High Value
CS6087,2014-11-24,37,0,11,2014,24,2014-11,High Value
CS5909,2012-02-04,80,0,2,2012,4,2012-02,High Value
CS2845,2013-03-08,105,0,3,2013,8,2013-03,High Value
CS1433,2012-11-05,78,0,11,2012,5,2012-11,High Value
CS4897,2014-04-12,45,1,4,2014,12,2014-04,High Value
CS2296,2012-12-28,79,0,12,2012,28,2012-12,High Value
CS1494,2013-06-29,59,0,6,2013,29,2013-06,High Value
CS3688,2014-06-19,55,0,6,2014,19,2014-06,High Value
CS2287,2011-12-23,94,0,12,2011,23,2011-12,High Value
CS3779,2011-06-26,69,0,6,2011,26,2011-06,High Value
CS1423,2014-06-05,78,0,6,2014,5,2014-06,High Value
CS2501,2012-11-14,59,1,11,2012,14,2012-11,High Value
CS3434,2013-02-22,98,0,2,2013,22,2013-02,High Value
CS2662,2014-08-31,88,0,8,2014,31,2014-08,High Value
CS2209,2012-03-12,35,0,3,2012,12,2012-03,Medium Value
CS4530,2011-06-05,40,0,6,2011,5,2011-06,High Value
CS2848,2013-02-04,53,0,2,2013,4,2013-02,High Value
CS2596,2011-09-19,55,0,9,2011,19,2011-09,Medium Value
CS4421,2012-05-20,86,0,5,2012,20,2012-05,High Value
CS4905,2012-04-13,93,0,4,2012,13,2012-04,High Value
CS5704,2011-12-04,79,0,12,2011,4,2011-12,Medium Value
CS2403,2014-07-27,94,1,7,2014,27,2014-07,High Value
CS5480,2012-01-28,63,1,1,2012,28,2012-01,High Value
CS5811,2013-08-23,91,1,8,2013,23,2013-08,High Value
CS2051,2014-12-09,101,0,12,2014,9,2014-12,High Value
CS3957,2012-08-30,69,0,8,2012,30,2012-08,High Value
CS4704,2014-11-25,41,0,11,2014,25,2014-11,High Value
CS2289,2012-05-19,67,0,5,2012,19,2012-05,High Value
CS5218,2014-06-21,45,0,6,2014,21,2014-06,High Value
CS4637,2011-05-20,71,1,5,2011,20,2011-05,High Value
CS3158,2012-05-06,91,0,5,2012,6,2012-05,High Value
CS4176,2012-07-30,49,0,7,2012,30,2012-07,Medium Value
CS1939,2011-11-25,101,0,11,2011,25,2011-11,High Value
CS5403,2011-12-01,64,0,12,2011,1,2011-12,High Value
